name,birth,start_year,end_year,career,games,타수,득점,안타,이루타,삼루타,홈런,타점,도루,도실,볼넷,사구,삼진,병살,실책,batting_average,birth_month
조원우,1971-04-08T00:00:00Z,1994,2008,15,1368,4220,586,1190,164,25,68,443,123,52,335,68,538,85,12,0.282,4
장재중,1971-05-19T00:00:00Z,1994,2003,10,596,1207,119,264,34,9,14,104,19,10,86,7,193,32,19,0.219,5
유지현,1971-05-25T00:00:00Z,1994,2004,11,1108,4050,719,1134,193,17,64,379,296,85,590,60,537,57,139,0.28,5
손동일,1971-07-05T00:00:00Z,1994,1999,6,203,460,58,92,18,1,10,40,12,6,33,1,130,8,1,0.2,7
임채영,1971-08-07T00:00:00Z,1994,1996,3,82,131,5,21,9,1,1,10,0,2,3,1,18,7,2,0.16,8
김성,1971-08-10T00:00:00Z,1994,1996,2,32,22,8,3,1,0,0,0,1,0,2,1,5,0,0,0.136,8
김태균,1971-08-19T00:00:00Z,1994,2007,14,1234,2961,317,673,122,6,63,335,30,21,300,43,715,73,96,0.227,8
최동수,1971-09-11T00:00:00Z,1994,2013,19,1293,3332,340,894,160,4,90,502,9,13,297,36,547,115,45,0.268,9
김광현,1971-10-07T00:00:00Z,1994,1999,6,77,127,10,30,9,3,0,10,1,0,12,1,36,4,3,0.236,10
김성태,1971-10-10T00:00:00Z,1994,1997,3,71,153,13,33,6,1,0,18,4,3,11,1,27,3,7,0.216,10
김한수,1971-10-30T00:00:00Z,1994,2007,14,1497,5242,704,1514,279,12,149,782,59,39,341,148,800,149,130,0.289,10
전형도,1971-10-30T00:00:00Z,1994,2001,8,387,447,101,89,15,2,6,34,32,16,40,7,89,6,30,0.199,10
정진식,1971-11-15T00:00:00Z,1994,2001,5,87,106,13,25,5,0,1,5,1,1,6,0,26,0,6,0.236,11
이군옥,1971-12-27T00:00:00Z,1994,1996,2,9,11,3,2,0,1,0,0,0,0,0,0,2,2,0,0.182,12
최찬욱,1972-01-18T00:00:00Z,1994,1995,2,22,25,2,0,0,0,0,0,0,0,0,1,14,1,0,0,1
최병국,1972-01-22T00:00:00Z,1994,1994,1,5,7,0,1,0,0,0,0,0,0,0,0,0,0,2,0.143,1
김종훈,1972-01-29T00:00:00Z,1994,2007,14,1259,2906,425,735,119,24,43,276,82,25,256,47,577,56,24,0.253,1
최익성,1972-02-11T00:00:00Z,1994,2005,12,621,1686,309,450,83,6,60,216,85,23,200,78,304,31,11,0.267,2
허문회,1972-02-12T00:00:00Z,1994,2003,10,523,1018,87,274,37,2,20,129,9,11,76,15,140,29,10,0.269,2
신진수,1972-02-28T00:00:00Z,1994,1998,5,159,292,39,60,17,0,1,19,7,4,26,2,55,5,1,0.205,2
최형현,1972-03-28T00:00:00Z,1994,1997,3,46,42,2,7,0,0,0,3,1,2,3,0,7,1,2,0.167,3
김주성,1972-05-05T00:00:00Z,1994,1996,3,171,256,28,64,9,1,1,19,3,3,19,0,54,6,17,0.25,5
장진성,1972-10-20T00:00:00Z,1994,1997,2,15,17,2,3,3,0,0,3,1,0,0,1,8,1,1,0.176,10
유진우,1972-11-24T00:00:00Z,1994,1995,2,20,6,0,1,1,0,0,0,0,0,0,1,1,1,0,0.167,11
배훈,1972-12-16T00:00:00Z,1994,1994,1,15,16,2,2,0,0,0,3,0,0,2,0,7,0,0,0.125,12
이동수,1973-03-24T00:00:00Z,1994,2003,10,674,1813,257,487,82,9,89,328,8,5,224,67,522,51,42,0.269,3
한성곤,1973-05-22T00:00:00Z,1994,1994,1,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0.333,5
김정규,1973-08-27T00:00:00Z,1994,1999,5,41,63,5,13,1,0,0,2,0,0,0,1,12,2,2,0.206,8
김정윤,1974-03-18T00:00:00Z,1994,1997,4,42,27,3,4,0,0,0,0,0,2,1,0,11,0,0,0.148,3
지윤석,1974-04-03T00:00:00Z,1994,1994,1,4,6,1,2,0,0,0,0,0,0,0,0,2,0,0,0.333,4
김지영,1974-04-21T00:00:00Z,1994,2002,7,130,194,22,45,7,0,3,15,0,0,13,0,54,4,4,0.232,4
강석,1974-07-01T00:00:00Z,1994,1994,1,7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7
공유선,1974-08-12T00:00:00Z,1994,1994,1,13,34,1,7,1,0,1,3,0,0,3,0,9,0,0,0.206,8
유태준,1975-01-22T00:00:00Z,1994,1994,1,5,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0.167,1
